30 30
0.0000 0.0000 7.0000
-0.0004 0.3743 7.0000
-0.0032 0.7012 7.0000
-0.0107 0.9867 7.0000
-0.0253 1.2365 7.0000
-0.0494 1.4568 7.0000
-0.0853 1.6533 7.0000
-0.1355 1.8321 7.0000
-0.2020 1.9989 7.0000
-0.2813 2.1573 7.0000
-0.3642 2.3086 7.0000
-0.4411 2.4540 7.0000
-0.5027 2.5947 7.0000
-0.5393 2.7318 7.0000
-0.5416 2.8665 7.0000
-0.5000 3.0000 7.0000
-0.4092 3.1335 7.0000
-0.2805 3.2682 7.0000
-0.1293 3.4053 7.0000
0.0290 3.5460 7.0000
0.1790 3.6914 7.0000
0.3053 3.8427 7.0000
0.3925 4.0011 7.0000
0.4259 4.1679 7.0000
0.4053 4.3467 7.0000
0.3457 4.5432 7.0000
0.2623 4.7635 7.0000
0.1707 5.0133 7.0000
0.0861 5.2988 7.0000
0.0241 5.6257 7.0000
0.4329 0.0000 6.5162
0.5874 0.3743 6.5162
0.6709 0.7012 6.5162
0.6913 0.9867 6.5162
0.6571 1.2365 6.5162
0.5764 1.4568 6.5162
0.4575 1.6533 6.5162
0.3086 1.8321 6.5162
0.1380 1.9989 6.5162
-0.0434 2.1573 6.5162
-0.2224 2.3086 6.5162
-0.3855 2.4540 6.5162
-0.5195 2.5947 6.5162
-0.6109 2.7318 6.5162
-0.6464 2.8665 6.5162
-0.6125 3.0000 6.5162
-0.5024 3.1335 6.5162
-0.3343 3.2682 6.5162
-0.1333 3.4053 6.5162
0.0759 3.5460 6.5162
0.2683 3.6914 6.5162
0.4193 3.8427 6.5162
0.5038 4.0011 6.5162
0.4984 4.1679 6.5162
0.4082 4.3467 6.5162
0.2676 4.5432 6.5162
0.1118 4.7635 6.5162
-0.0236 5.0133 6.5162
-0.1032 5.2988 6.5162
-0.0917 5.6257 6.5162
0.6884 0.0000 6.1170
0.9669 0.3743 6.1170
1.1172 0.7012 6.1170
1.1574 0.9867 6.1170
1.1056 1.2365 6.1170
0.9799 1.4568 6.1170
0.7983 1.6533 6.1170
0.5789 1.8321 6.1170
0.3397 1.9989 6.1170
0.0970 2.1573 6.1170
-0.1345 2.3086 6.1170
-0.3404 2.4540 6.1170
-0.5061 2.5947 6.1170
-0.6171 2.7318 6.1170
-0.6588 2.8665 6.1170
-0.6166 3.0000 6.1170
-0.4838 3.1335 6.1170
-0.2838 3.2682 6.1170
-0.0479 3.4053 6.1170
0.1928 3.5460 6.1170
0.4070 3.6914 6.1170
0.5636 3.8427 6.1170
0.6313 4.0011 6.1170
0.5807 4.1679 6.1170
0.4228 4.3467 6.1170
0.2089 4.5432 6.1170
-0.0077 4.7635 6.1170
-0.1740 5.0133 6.1170
-0.2367 5.2988 6.1170
-0.1428 5.6257 6.1170
0.7996 0.0000 5.7833
1.1761 0.3743 5.7833
1.3793 0.7012 5.7833
1.4359 0.9867 5.7833
1.3724 1.2365 5.7833
1.2153 1.4568 5.7833
0.9911 1.6533 5.7833
0.7264 1.8321 5.7833
0.4475 1.9989 5.7833
0.1747 2.1573 5.7833
-0.0778 2.3086 5.7833
-0.2958 2.4540 5.7833
-0.4652 2.5947 5.7833
-0.5721 2.7318 5.7833
-0.6024 2.8665 5.7833
-0.5420 3.0000 5.7833
-0.3851 3.1335 5.7833
-0.1589 3.2682 5.7833
0.1010 3.4053 5.7833
0.3593 3.5460 5.7833
0.5804 3.6914 5.7833
0.7287 3.8427 5.7833
0.7690 4.0011 5.7833
0.6677 4.1679 5.7833
0.4420 4.3467 5.7833
0.1588 4.5432 5.7833
-0.1123 4.7635 5.7833
-0.3020 5.0133 5.7833
-0.3411 5.2988 5.7833
-0.1601 5.6257 5.7833
0.7964 0.0000 5.4986
1.2493 0.3743 5.4986
1.4958 0.7012 5.4986
1.5690 0.9867 5.4986
1.5021 1.2365 5.4986
1.3284 1.4568 5.4986
1.0810 1.6533 5.4986
0.7931 1.8321 5.4986
0.4976 1.9989 5.4986
0.2174 2.1573 5.4986
-0.0342 2.3086 5.4986
