20 20
0.0000 1.2513 0.8920
0.3851 1.2513 0.8896
0.7409 1.2513 0.8825
1.0676 1.2513 0.8714
1.3659 1.2513 0.8565
1.6360 1.2513 0.8383
1.8786 1.2513 0.8174
2.0940 1.2513 0.7940
2.2829 1.2513 0.7688
2.4526 1.2513 0.7462
2.6169 1.2513 0.7343
2.7893 1.2513 0.7409
2.9759 1.2513 0.7668
3.1771 1.2513 0.8072
3.3930 1.2513 0.8572
3.6235 1.2513 0.9117
3.8688 1.2513 0.9658
4.1291 1.2513 1.0144
4.4043 1.2513 1.0526
4.6946 1.2513 1.0755
0.0000 1.3757 0.9303
0.3851 1.3757 0.9314
0.7409 1.3757 0.9326
1.0676 1.3757 0.9318
1.3659 1.3757 0.9271
1.6360 1.3757 0.9163
1.8786 1.3757 0.8973
2.0940 1.3757 0.8681
2.2829 1.3757 0.8269
2.4526 1.3757 0.7800
2.6169 1.3757 0.7418
2.7893 1.3757 0.7264
2.9759 1.3757 0.7380
3.1771 1.3757 0.7729
3.3930 1.3757 0.8270
3.6235 1.3757 0.8964
3.8688 1.3757 0.9772
4.1291 1.3757 1.0653
4.4043 1.3757 1.1569
4.6946 1.3757 1.2478
0.0000 1.5013 0.9625
0.3851 1.5013 0.9693
0.7409 1.5013 0.9821
1.0676 1.5013 0.9958
1.3659 1.5013 1.0052
1.6360 1.5013 1.0052
1.8786 1.5013 0.9906
2.0940 1.5013 0.9564
2.2829 1.5013 0.8979
2.4526 1.5013 0.8237
2.6169 1.5013 0.7558
2.7893 1.5013 0.7156
2.9759 1.5013 0.7113
3.1771 1.5013 0.7399
3.3930 1.5013 0.7984
3.6235 1.5013 0.8836
3.8688 1.5013 0.9924
4.1291 1.5013 1.1216
4.4043 1.5013 1.2682
4.6946 1.5013 1.4290
0.0000 1.6285 0.9940
0.3851 1.6285 1.0094
0.7409 1.6285 1.0363
1.0676 1.6285 1.0664
1.3659 1.6285 1.0915
1.6360 1.6285 1.1032
